img_filepath,has_apriltag,corners
captured_frames/frame_0.jpg,False,
captured_frames/frame_1.jpg,False,
captured_frames/frame_2.jpg,False,
captured_frames/frame_3.jpg,False,
captured_frames/frame_4.jpg,False,
captured_frames/frame_5.jpg,False,
captured_frames/frame_6.jpg,False,
captured_frames/frame_7.jpg,False,
captured_frames/frame_8.jpg,False,
captured_frames/frame_9.jpg,False,
captured_frames/frame_10.jpg,False,
captured_frames/frame_11.jpg,False,
captured_frames/frame_12.jpg,False,
captured_frames/frame_13.jpg,False,
captured_frames/frame_14.jpg,False,
captured_frames/frame_15.jpg,False,
captured_frames/frame_16.jpg,False,
captured_frames/frame_17.jpg,False,
captured_frames/frame_18.jpg,False,
captured_frames/frame_19.jpg,False,
captured_frames/frame_20.jpg,False,
captured_frames/frame_21.jpg,False,
captured_frames/frame_22.jpg,False,
captured_frames/frame_23.jpg,False,
captured_frames/frame_24.jpg,False,
captured_frames/frame_25.jpg,False,
captured_frames/frame_26.jpg,False,
captured_frames/frame_27.jpg,True,"174.17926025390625,125.05590820312497,126.59500885009767,119.83524322509766,122.09809875488277,169.94618225097656,169.51393127441406,176.1160583496094"
captured_frames/frame_28.jpg,False,
captured_frames/frame_29.jpg,False,
captured_frames/frame_30.jpg,False,
captured_frames/frame_31.jpg,False,
captured_frames/frame_32.jpg,False,
captured_frames/frame_33.jpg,False,
captured_frames/frame_34.jpg,False,
captured_frames/frame_35.jpg,True,"294.0811767578125,169.88766479492193,237.09144592285153,168.04261779785153,217.49739074707028,222.67852783203122,272.9921875,220.08035278320318"
captured_frames/frame_36.jpg,True,"298.61993408203136,170.895263671875,235.17747497558594,170.65322875976565,216.18310546874997,227.00801086425784,276.518310546875,223.66299438476562"
captured_frames/frame_37.jpg,True,"279.8863830566406,171.9915466308594,206.53073120117188,176.49685668945315,210.6856689453125,234.89918518066406,277.3475341796875,231.93888854980466"
captured_frames/frame_38.jpg,True,"278.6658020019531,177.94862365722656,199.76342773437497,175.77273559570312,202.2995910644531,228.78288269042972,266.9799499511719,232.80220031738284"
captured_frames/frame_39.jpg,True,"279.7704772949219,179.96615600585935,204.1675262451172,172.847900390625,193.96508789062497,223.48300170898438,259.2881164550781,230.9045715332031"
captured_frames/frame_40.jpg,True,"275.8226928710937,166.99346923828122,211.35290527343747,160.03526306152344,203.3432769775391,223.96051025390628,265.4031066894531,221.08888244628903"
captured_frames/frame_41.jpg,True,"269.3719482421875,157.4210205078125,206.69552612304688,159.97169494628903,204.2198028564453,218.5355224609375,266.4959716796875,213.2294921875"
captured_frames/frame_42.jpg,False,
captured_frames/frame_43.jpg,False,
captured_frames/frame_44.jpg,False,
captured_frames/frame_45.jpg,True,"223.02734375,95.96149444580078,190.74713134765622,95.91048431396486,190.97799682617188,128.69778442382815,222.5464630126953,127.83438873291016"
captured_frames/frame_46.jpg,True,"225.8676300048828,92.7635955810547,194.53511047363278,92.81652069091795,192.0340118408203,124.60309600830077,221.9320068359375,123.84912872314453"
captured_frames/frame_47.jpg,True,"173.42211914062491,82.81826782226561,148.94068908691406,82.80813598632815,149.25588989257818,109.1765823364258,173.34173583984372,108.2324523925781"
captured_frames/frame_48.jpg,True,"176.52870178222656,82.3724136352539,152.06085205078125,83.13120269775389,152.1265869140625,109.20742797851562,176.13607788085938,107.30609130859376"
captured_frames/frame_49.jpg,True,"179.63932800292974,82.21153259277344,154.69703674316406,83.67815399169925,154.87174987792963,109.25971984863281,178.7325897216797,106.94348144531247"
captured_frames/frame_50.jpg,True,"181.46035766601557,82.74881744384766,156.1850280761719,84.79411315917972,156.0881958007813,109.46556854248047,180.64508056640622,106.90513610839841"
captured_frames/frame_51.jpg,True,"156.222222,84.000000,183.222222,83.444444,181.222222,107.666667,155.333333,109.444444"
captured_frames/frame_52.jpg,True,"157.888889,83.666667,184.555556,83.333333,182.333333,108.000000,156.333333,108.333333"
captured_frames/frame_53.jpg,True,"185.52403259277344,83.07317352294922,160.22875976562503,82.24219512939453,158.34269714355472,107.02877807617186,182.6641387939453,107.5181655883789"
captured_frames/frame_54.jpg,True,"185.4394226074219,81.90676879882814,160.88304138183597,81.2300491333008,160.05833435058594,107.21934509277344,183.91998291015625,106.27259063720705"
captured_frames/frame_55.jpg,True,"185.07618713378906,80.80247497558592,161.24420166015622,81.3972702026367,161.93852233886716,107.1519775390625,185.1007080078125,105.13850402832031"
captured_frames/frame_56.jpg,True,"184.79843139648438,80.42613220214844,161.5896759033203,81.60134124755861,163.48339843750003,106.80196380615234,186.06622314453128,104.72732543945311"
captured_frames/frame_57.jpg,True,"185.18719482421872,80.6439743041992,162.81396484374997,81.32820129394533,164.4989776611328,106.1130142211914,186.54962158203128,104.85228729248045"
captured_frames/frame_58.jpg,True,"187.71356201171872,81.46128082275392,166.3836975097656,81.15985107421875,168.10935974121094,105.96399688720703,188.50552368164065,105.42955017089845"
captured_frames/frame_59.jpg,True,"189.34822082519526,81.91183471679688,168.73857116699216,81.74247741699219,170.7683715820313,106.6121826171875,190.58291625976562,105.67351531982422"
captured_frames/frame_60.jpg,True,"191.19789123535156,82.14104461669923,171.25045776367188,82.91930389404297,174.19769287109375,107.79348754882811,193.58428955078128,105.90154266357423"
captured_frames/frame_61.jpg,True,"174.333333,82.666667,195.444444,81.444444,196.555556,106.555556,176.111111,109.111111"
captured_frames/frame_62.jpg,False,
captured_frames/frame_63.jpg,False,
captured_frames/frame_64.jpg,True,"205.39935302734372,83.6941909790039,183.92601013183597,84.22751617431639,182.80934143066406,110.38715362548827,204.34620666503903,108.63205718994142"
captured_frames/frame_65.jpg,True,"208.42393493652347,84.15655517578126,185.18284606933597,84.88787078857423,183.76309204101562,110.93598175048828,206.75550842285156,109.42574310302734"
captured_frames/frame_66.jpg,True,"210.36729431152344,84.46935272216797,185.62603759765622,85.8334503173828,184.22756958007812,111.71151733398439,208.47445678710938,109.8406753540039"
captured_frames/frame_67.jpg,True,"211.29020690917966,85.15739440917967,185.57044982910156,86.18806457519533,184.12428283691406,112.36939239501953,208.9088897705078,110.41901397705075"
captured_frames/frame_68.jpg,True,"211.146484375,85.52664184570312,185.47499084472653,86.0158233642578,183.19087219238284,112.44555664062501,207.66737365722656,111.02503967285158"
captured_frames/frame_69.jpg,True,"209.3463287353516,85.66807556152342,184.67181396484375,85.5902862548828,181.56842041015622,112.28480529785156,205.44938659667972,111.04293060302734"
captured_frames/frame_70.jpg,False,
captured_frames/frame_71.jpg,False,
captured_frames/frame_72.jpg,False,
captured_frames/frame_73.jpg,False,
captured_frames/frame_74.jpg,False,
captured_frames/frame_75.jpg,True,"174.43702697753912,89.76595306396486,150.58348083496094,93.23784637451169,155.98809814453125,124.11701202392578,179.7802734375,119.08594512939455"
captured_frames/frame_76.jpg,False,
captured_frames/frame_77.jpg,False,
captured_frames/frame_78.jpg,False,
captured_frames/frame_79.jpg,True,"199.10923767089847,96.69807434082033,165.4024200439453,97.07870483398435,162.80889892578122,129.4858856201172,195.39735412597656,128.5107116699219"
captured_frames/frame_80.jpg,True,"196.99943542480472,96.51303863525392,161.84127807617188,98.38452911376953,163.05397033691403,131.2877960205078,197.62295532226562,129.05006408691406"
